NG,Lauda Air
IRG,Iranian Naft Airlines
LCT,Compañía De Actividades Y Servicios De Aviación
ZB,Monarch Airlines
6B,TUIfly Nordic
NO,NEOS
9Y,Fly Georgia
AYD,Aladia Airlines
4Y,Alaska Airlines
ON,Our Airline
IAW,Iraqi Airways
VG,VLM  Airlines
ECB,European Coastal Airlines
X7,Chitaavia
TNU,
YZ,Flywell Airlines / Zimbabwe Airlink
8I,MYAIR.com
N3,Aerolineas MAS
MJ,Mihin Lanka
4T,Belair Airlines
AXK,African Express Airways
XAR,Travel Express Aviation Services
NYT,Yeti Airlines
7B,Kras Air  Airlines
DN,Vaso  Airlines
LV,Albanian MAK SHPK
RN,Euralair International
O8,Oasis Hong Kong Airlines
BTN,
TZ,ATA
LC,Equatorial Congo Airlines (ECAIR)
Z6,Dniproavia
VK,Virgin Nigeria
VH,Aeropostal
MCJ,
MY,Maya Island Air
D6,Interair S. Africa
4H,United Airways
ITI,
EF,Eznis Airways
ZG,Viva Macau
KR,Air Bishkek
L8,Laparkan Airlines
4P,Viking  Airlines
MNG,Aero Mongolia
7D,Co Donbassaero
VTE,Corporate Flight Management
UD,HexAir
T9,
TNR,Tanana Air Services
WJ,Labrador Limited
