dep_city_code,arr_city_code,url
BLR,DEL,/flight-schedule/bangalore-new-delhi-flights.html
BOM,DEL,/flight-schedule/mumbai-new-delhi-flights.html
MAA,DEL,/flight-schedule/chennai-new-delhi-flights.html
DEL,BOM,/flight-schedule/new-delhi-mumbai-flights.html
BOM,PBH,/flight-schedule/mumbai-paro-flights.html
PNQ,DEL,/flight-schedule/pune-new-delhi-flights.html
CCU,PBH,/flight-schedule/kolkata-paro-flights.html
BOM,GOI,/flight-schedule/mumbai-goa-flights.html
MAA,BOM,/flight-schedule/chennai-mumbai-flights.html
DEL,CCU,/flight-schedule/new-delhi-kolkata-flights.html
DEL,YTO,/flight-schedule/new-delhi-toronto-flights.html
AMD,DEL,/flight-schedule/ahmedabad-new-delhi-flights.html
BLR,GAU,/flight-schedule/bangalore-guwahati-flights.html
MAA,CJB,/flight-schedule/chennai-coimbatore-flights.html
BLR,CCU,/flight-schedule/bangalore-kolkata-flights.html
DEL,GOI,/flight-schedule/new-delhi-goa-flights.html
HYD,DEL,/flight-schedule/hyderabad-new-delhi-flights.html
BOM,BLR,/flight-schedule/mumbai-bangalore-flights.html
